{cpi},{l1ds},{l1is},{l2s},{l1da},{l1ia},{l2a},{cl}
3.420838,128,64,4096,2,4,8,64
3.420838,128,64,4096,2,4,16,64
2.496445,128,64,4096,2,4,8,128
2.496445,128,64,4096,2,4,16,128
3.420838,128,128,4096,2,4,8,64
3.420838,128,128,4096,2,4,16,64
2.496445,128,128,4096,2,4,8,128
2.496445,128,128,4096,2,4,16,128
3.420838,256,64,4096,2,4,8,64
3.420838,256,64,4096,2,4,16,64
2.496445,256,64,4096,2,4,8,128
2.496445,256,64,4096,2,4,16,128
3.420838,256,128,4096,2,4,8,64
3.420838,256,128,4096,2,4,16,64
2.496445,256,128,4096,2,4,8,128
2.496445,256,128,4096,2,4,16,128
