{cpi},{l1ds},{l1is},{l2s},{l1da},{l1ia},{l2a},{cl}
5.588437,128,64,4096,4,2,8,64
5.589757,128,64,4096,4,2,16,64
5.588265,128,64,4096,4,4,8,64
5.588682,128,64,4096,4,4,16,64
3.874775,128,64,4096,4,2,8,128
3.874973,128,64,4096,4,2,16,128
3.874775,128,64,4096,4,4,8,128
3.874775,128,64,4096,4,4,16,128
5.588265,128,128,4096,4,2,8,64
5.588682,128,128,4096,4,2,16,64
5.588265,128,128,4096,4,4,8,64
5.588682,128,128,4096,4,4,16,64
3.874775,128,128,4096,4,2,8,128
3.875213,128,128,4096,4,2,16,128
3.874775,128,128,4096,4,4,8,128
3.875213,128,128,4096,4,4,16,128
5.588265,128,256,4096,4,2,8,64
5.588682,128,256,4096,4,2,16,64
5.588265,128,256,4096,4,4,8,64
5.588682,128,256,4096,4,4,16,64
3.874775,128,256,4096,4,2,8,128
3.875213,128,256,4096,4,2,16,128
3.874775,128,256,4096,4,4,8,128
3.875213,128,256,4096,4,4,16,128
5.589308,256,64,4096,4,2,8,64
5.590021,256,64,4096,4,2,16,64
5.589308,256,64,4096,4,4,8,64
5.590021,256,64,4096,4,4,16,64
3.874775,256,64,4096,4,2,8,128
3.874973,256,64,4096,4,2,16,128
3.874775,256,64,4096,4,4,8,128
3.874973,256,64,4096,4,4,16,128
5.589308,256,128,4096,4,2,8,64
5.590021,256,128,4096,4,2,16,64
5.589308,256,128,4096,4,4,8,64
5.590021,256,128,4096,4,4,16,64
3.874775,256,128,4096,4,2,8,128
3.874973,256,128,4096,4,2,16,128
3.874775,256,128,4096,4,4,8,128
3.874973,256,128,4096,4,4,16,128
5.589308,256,256,4096,4,2,8,64
5.590021,256,256,4096,4,2,16,64
5.589308,256,256,4096,4,4,8,64
5.590021,256,256,4096,4,4,16,64
3.874775,256,256,4096,4,2,8,128
3.874973,256,256,4096,4,2,16,128
3.874775,256,256,4096,4,4,8,128
3.874973,256,256,4096,4,4,16,128
